IoUs for image 336: {1: 0.23468208092485549, 2: 0.0, 3: 0.0}
IoUs for image 337: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 338: {1: 0.4440583738707436, 2: 0.0, 3: 0.604225352112676}
IoUs for image 339: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 340: {1: 0.05541273921736647, 2: 0.0, 3: 0.0}
IoUs for image 341: {1: nan, 2: 0.8524553066304594, 3: 0.7042682926829268}
IoUs for image 342: {1: 0.12804878048780488, 2: 0.0, 3: 0.0}
IoUs for image 343: {1: 0.0, 2: 0.0, 3: 0.16112489660876758}
IoUs for image 344: {1: 0.0, 2: 0.0036049668432061952, 3: 0.0}
IoUs for image 345: {1: 0.0, 2: 0.3687325570204985, 3: 0.0}
IoUs for image 346: {1: 0.16240208877284595, 2: 0.0, 3: 0.0}
IoUs for image 347: {1: 0.0, 2: 0.0, 3: 0.3750681942171304}
IoUs for image 348: {1: 0.0, 2: 0.0, 3: 0.004319654427645789}
IoUs for image 349: {1: 0.0, 2: 0.0030864197530864196, 3: 0.0}
IoUs for image 350: {1: 0.19042316258351893, 2: 0.0, 3: 0.0}
IoUs for image 351: {1: nan, 2: 0.8668705402650356, 3: 0.5003270111183781}
IoUs for image 352: {1: 0.09285187914517318, 2: 0.0, 3: 0.0}
IoUs for image 353: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 354: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 355: {1: 0.07186234817813765, 2: 0.0, 3: 0.3929577464788732}
IoUs for image 356: {1: 0.0, 2: 0.7346122374761342, 3: 0.0}
IoUs for image 357: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 358: {1: 0.0, 2: 0.0, 3: 0.3070316693505099}
IoUs for image 359: {1: 0.22510690287110569, 2: 0.0, 3: 0.0}
IoUs for image 360: {1: 0.0, 2: 0.09173020527859238, 3: 0.0}
IoUs for image 361: {1: 0.0, 2: 0.0, 3: 0.030280649926144758}
IoUs for image 362: {1: 0.0, 2: 0.0, 3: 0.629613975767822}
IoUs for image 363: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 364: {1: 0.002437043054427295, 2: 0.0, 3: 0.0}
IoUs for image 365: {1: 0.0, 2: 0.7653936087295401, 3: 0.6297798377752027}
IoUs for image 366: {1: 0.0, 2: 0.12869088058531486, 3: 0.0}
IoUs for image 367: {1: 0.0, 2: 0.0, 3: 0.0}
